UAV ID,Ture ID,Predict ID,Distance
808,209,208,8.14198339666146
809,209,208,7.11596647079278
810,210,209,8.283276923822761
811,210,209,7.944316567161124
812,210,209,7.451761400739839
813,210,209,7.4706716801255855
814,211,209,8.683131341638777
815,211,210,8.692142918862691
816,211,210,9.163040826055367
817,212,210,10.288496811840659
818,212,211,8.415708413706247
819,212,211,9.007819598080687
820,212,211,9.581198751031666
821,213,211,9.550952821550315
822,213,212,8.566420810973586
823,213,212,8.610477270421423
824,214,212,9.767655943088773
825,214,213,10.234067855033953
826,214,213,9.211204634794612
827,214,213,9.386858798414783
828,215,214,10.493674577495915
829,215,214,9.793607763663127
830,215,214,9.452243483799379
831,215,215,9.82219094435409
832,216,215,11.022275935806691
833,216,215,9.79066786724183
834,216,215,10.107793284297927
835,217,216,10.52906012328907
836,217,216,10.422135976842435
837,217,216,9.97567829130408
838,217,217,11.212342743351691
839,218,217,11.107994582003228
840,218,217,10.885512327158366
841,218,217,10.613643997723832
842,219,218,10.910008682381239
843,219,218,10.896408865290182
844,219,218,11.137208376414044
845,219,219,12.06574311505659
846,220,218,10.868509613812675
847,220,219,11.172174955733245
848,220,219,10.73831464304377
849,221,220,11.237260462799648
850,221,220,10.692192091309176
851,221,220,10.80225452514069
852,221,221,10.406146803588443
853,222,221,9.720077233433416
854,222,221,9.857838182568274
855,222,221,10.22327061993208
856,223,222,9.654484289682498
857,223,222,8.937468495372826
858,223,222,9.627660157617711
859,223,223,9.386657932626596
860,224,223,8.6900315283137
861,224,223,8.827005972162572
862,224,223,8.641022008916732
863,225,224,7.760454710946408
864,225,224,8.035405101551051
865,225,224,8.84105121949807
866,225,225,8.586961684831909
867,226,225,7.8981633020980935
868,226,225,7.549478751827717
869,226,225,8.060703484054509
870,227,226,7.943999199348246
871,227,226,7.596491925752002
872,227,226,8.000338555847856
873,227,227,8.60690768105916
874,228,227,7.377116403055427
875,228,227,7.697712536348894
876,228,227,8.144020308175378
877,229,228,7.1196602794603026
878,229,228,8.47444163387716
879,229,228,8.459734082400422
880,229,229,7.950918076641371
881,230,229,8.779481267557372
882,230,229,9.065768923553614
883,230,230,9.033406395484134
884,231,230,9.109478077483706
885,231,230,10.350082064268312
886,231,231,9.804768547555692
887,231,231,9.919353790394076
888,232,231,10.361297667206465
889,232,232,11.110656965180787
890,232,232,10.8942703798933
891,233,232,11.026330474419575
892,233,232,11.232214716540474
893,233,233,11.240898599491395
894,233,233,11.244026905937632
895,234,233,12.426592655545807
896,234,234,12.152946229476921
897,234,234,11.477918775902822
898,235,234,11.961435990392072
899,235,235,13.137486166089621
900,235,235,12.292233410382053
901,235,236,12.90859357278314
902,236,236,13.106535357246422
903,236,236,12.836973939404478
904,236,236,13.154901804622229
905,237,237,12.687896812194406
906,237,237,13.196178351001882
907,237,237,14.285223150605162
908,237,238,13.86466852134671
909,238,238,14.31628007901502
910,238,238,13.551040060492257
911,238,238,14.508903254528313
912,239,239,14.127093177849693
913,239,239,13.81645235211046
914,239,240,15.394753960168734
915,239,240,14.8430548574938
916,240,240,14.56014139282743
917,240,240,14.579393976800672
918,240,240,15.090832431496807
919,240,240,15.632584649300757
920,241,241,14.655573700445954
921,241,241,14.747645725233076
922,241,242,15.122513846832838
923,242,242,13.854704516263274
924,242,242,14.347747515699188
925,242,243,14.467343266433359
926,242,243,15.384908781032419
927,243,243,14.142352133768295
928,243,243,13.97037222510835
929,243,243,13.934463210449206
930,244,244,13.811968334105131
931,244,244,11.812658851745715
932,244,244,11.98455063170602
933,244,244,13.203397934430221
934,245,244,12.17779919647036
935,245,245,11.707499827817701
936,245,245,10.722571952437221
937,245,245,11.701596451875837
938,246,246,11.797363406032192
939,246,246,10.79701312214429
940,246,246,9.73341836375429
941,247,246,11.163241028010786
942,247,246,9.002611423226076
943,247,247,9.490467513014886
944,247,247,9.052533600002652
945,248,247,10.38892580181417
946,248,247,8.53492991422322
947,248,248,9.623957344026122
948,248,248,8.117590089876304
949,249,248,7.684651799714626
950,249,249,9.529930631946012
951,249,249,7.504884464044861
952,250,249,7.220504612347211
953,250,249,7.241270387402924
954,250,249,8.288624807717461
955,250,250,10.044752810860828
956,251,250,8.854310515780272
957,251,250,7.98918955602341
958,251,251,8.843540111682273
959,252,251,7.401035009486892
960,252,251,8.214041087195636
961,252,252,9.606436573720117
962,252,252,6.561316665188147
963,253,252,8.251224443961533
964,253,253,9.377446637134165
965,253,252,9.104778078176471
966,253,253,8.53496077025413
967,254,253,9.235268662510622
968,254,253,9.923459181532339
969,254,254,8.925668338889938
970,255,254,10.13347357424224
971,255,255,9.91316284975285
972,255,255,9.163950795809964
973,255,255,9.378541468698753
974,256,256,10.120925710999549
975,256,256,9.606293490035545
976,256,256,10.46244767926672
977,257,256,9.292950475395873
978,257,257,11.143077135279393
979,257,257,9.938014483877668
980,257,257,9.729750929551502
981,258,257,10.48971374882333
982,258,258,10.529806077760803
983,258,258,9.994488809773154
984,258,258,8.613657801167673
985,259,258,9.754283967656358
986,259,258,9.310667931896727
987,259,259,8.884200186628942
988,260,259,9.64254010579391
989,260,260,9.9713948480435
990,260,260,8.435410114615204
991,260,260,7.514533663205341
992,261,260,9.501595008792053
993,261,261,8.984450872582915
994,261,261,8.609603486343662
995,262,261,7.244132663717804
996,262,261,8.050573375987515
997,262,261,8.080974929796295
998,262,262,6.625330298918147
999,263,262,6.417528953233405
1000,263,262,6.564004232161735
1001,263,263,7.705606713905524
1002,263,263,4.3987516027547695
1003,264,263,4.018859558574727
1004,264,263,5.510752406365173
1005,264,264,6.390938699160644
1006,265,264,3.3689163522088186
1007,265,264,3.295835915608266
1008,265,265,5.5906522550061455
1009,265,265,4.21578742812196
1010,266,265,3.7467687178544353
1011,266,265,5.06511870842788
1012,266,265,4.3693697232877735
1013,267,266,3.672354846568883
1014,267,266,0.6049843228827764
1015,267,266,3.3086459275790534
1016,267,266,3.729855077008888
1017,268,267,1.23999628765257
1018,268,267,0.8383185982050066
1019,268,267,3.606421004835334
1020,269,268,3.0817268887166858
1021,269,268,0.8125227425789798
1022,269,268,3.142555062066831
1023,269,268,3.76786934170734
1024,270,269,2.4092686317047325
1025,270,269,2.501807837135405
1026,270,269,3.146090540318584
1027,271,270,4.396554766065617
1028,271,270,2.8311339792051737
1029,271,270,2.1241748700612484
1030,271,270,3.0397658037344084
